names,scores,logfoldchanges,pvals,pvals_adj
MOSPD3,-2.927673,-0.8031826,0.0034150881810227577,0.02424216641362939
CD200R1,-2.9352531,-1.6422778,0.0033327555004417516,0.02370690840906747
FN3KRP,-2.9369578,-1.3006753,0.0033144912693103897,0.02360152315909573
SIKE1,-2.9474294,-0.65561396,0.0032042777435374184,0.022848425771823434
ZNF710,-2.951353,-0.891835,0.003163849943892325,0.02259939996456699
CXorf40A,-2.952916,-0.7936447,0.0031478766580679404,0.022493129103194138
PWP1,-2.9553459,-0.5447349,0.0031231865243123032,0.02233225223183813
C7orf49,-2.9557252,-0.8165255,0.0031193498887767046,0.022328149883785554
ERI3,-2.9606445,-0.7650374,0.003069961724017878,0.02200532270683066
SCAMP3,-2.962326,-0.52927387,0.0030532439383293107,0.021893134757234516
PPP1R21,-2.9732888,-0.7233575,0.00294627030426837,0.021185283038993124
MANBAL,-2.974723,-1.1703902,0.0029325311516527714,0.02110867181356232
CD3D,-2.9764311,-0.91784644,0.0029162467861877078,0.021013559239609497
PARP12,-2.978073,-0.5720806,0.002900669015736307,0.020915993756252426
CYTH2,-2.9812217,-0.53055185,0.002871008281122168,0.020723955345695145
ASRGL1,-2.9818153,-0.57608384,0.0028654488851920295,0.02069110100742426
KHSRP,-2.9824417,-0.5142865,0.0028595912974222325,0.02066334028327385
SHE,-2.9890985,-1.4916618,0.0027980185510753713,0.020246923805085054
AARS,-2.9898865,-1.3920777,0.002790810565230227,0.020209012378698883
