names,scores,logfoldchanges,pvals,pvals_adj
TMEM229B,-0.9492316,-0.68937635,0.3425028197005273,1.0
RBKS,-0.94943607,-0.7699188,0.34239888365836746,1.0
SRFBP1,-0.9497097,-0.07217259,0.34225977504839666,1.0
TMEM104,-0.950501,-0.26901773,0.34185773667804276,1.0
LIG1,-0.9505109,-0.7448333,0.34185271311120025,1.0
ZNF680,-0.95056367,-0.9544859,0.34182592155238123,1.0
C1orf131,-0.9506362,0.054770183,0.3417890853526173,1.0
ATF6,-0.95065266,0.3238183,0.34178071384326825,1.0
AC010226.4,-0.95092636,-0.8385091,0.3416417659536449,1.0
VAC14,-0.9510121,-0.25212753,0.34159824754516555,1.0
ANKRD54,-0.95112747,-0.21204098,0.3415396706745767,1.0
PAK2,-0.95113075,0.33491406,0.34153799714416955,1.0
SLC30A6,-0.9512132,-0.27560127,0.34149616058965027,1.0
EXTL2,-0.95150995,-1.0007896,0.34134557615309824,1.0
NXT2,-0.9516023,-0.10298163,0.3412987363319794,1.0
MTRNR2L10,-0.9521265,-0.99451154,0.34103283108881244,1.0
ENO3,-0.9524232,-1.0932664,0.34088237749817785,1.0
SMG9,-0.9529079,-0.31258222,0.340636728066281,1.0
COL23A1,-0.95309913,-1.1979465,0.3405398363667326,1.0
LY9,-0.95320463,-1.0539745,0.34048638643613705,1.0
UAP1L1,-0.95331347,-0.13993837,0.340431271825022,1.0
DMKN,-0.95447075,-1.6467798,0.33984540655184226,1.0
WEE1,-0.95480376,-1.7920567,0.3396769440672057,1.0
GPD2,-0.9550675,0.091379255,0.3395435464459624,1.0
GPR114,-0.9552522,-1.7397109,0.3394501881036526,1.0
SRPX,-0.95537746,-2.3121555,0.33938684717687007,1.0
C2orf49,-0.95562476,-0.4721334,0.339261854438067,1.0
MON1B,-0.95596105,0.14224708,0.33909191170902975,1.0
ANKRD11,-0.95608306,0.3712914,0.3390302793189218,1.0
NRD1,-0.9564688,0.22795996,0.33883543501039004,1.0
RASSF5,-0.95705897,0.33205944,0.33853747897741504,1.0
ZC3H13,-0.95725024,0.23700981,0.33844097065488277,1.0
PLCG2,-0.95748764,-0.12432844,0.3383211917956076,1.0
MTIF2,-0.9580284,-0.27736992,0.3380484637956842,1.0
MTMR4,-0.9580976,0.027152658,0.33801355150887114,1.0
TMEM55A,-0.9585328,0.008804402,0.3377941558798394,1.0
TMEM191A,-0.95862514,-0.57269573,0.33774762917692036,1.0
RPGR,-0.95917904,-0.12425329,0.3374685554263056,1.0
MTR,-0.95955163,-0.18360373,0.33728092848974645,1.0
ADCK1,-0.95999676,-0.61097556,0.3370568603373538,1.0
MSMO1,-0.9601253,-0.6191626,0.3369921473590377,1.0
RP11-373D23.3,-0.9601418,-0.7357914,0.3369838514011253,1.0
CCDC109B,-0.9613057,0.3735753,0.33639848867054967,1.0
CD58,-0.9613123,0.24330953,0.33639517403257035,1.0
PLA2G4A,-0.9613947,-0.73220867,0.33635374283070607,1.0
TUG1,-0.9623542,0.43146196,0.33587172516880137,1.0
DNAL4,-0.96295756,-0.842797,0.3355688285023709,1.0
TARBP1,-0.9636236,-0.30481386,0.3352346878358674,1.0
HSD3B7,-0.9644544,-0.3641738,0.33481813962839824,1.0
CHAC2,-0.96457314,-1.0570662,0.3347586599789776,1.0
INO80,-0.9646325,-0.32493076,0.33472892270783217,1.0
FURIN,-0.9647017,0.07296987,0.3346942313764568,1.0
TOR1AIP2,-0.96477425,0.4528905,0.3346578905622072,1.0
SIGLEC8,-0.96489626,-1.2009556,0.3345967776551707,1.0
SELRC1,-0.96557546,-1.3336632,0.3342566589295677,1.0
CLCC1,-0.9666701,-0.3415345,0.3337089757054025,1.0
MICU1,-0.9670163,0.21657954,0.33353588319892835,1.0
PUM1,-0.96764934,0.37884805,0.3332195210228862,1.0
RBM10,-0.9676988,0.030709572,0.33319481338674173,1.0
NARS2,-0.96774167,-0.4632592,0.33317340105856386,1.0
IGKV1-39,-0.9678208,-2.1163108,0.333133872939944,1.0
SAMD4B,-0.9679659,0.39946315,0.3330614125846092,1.0
SLC25A6,-0.9679758,-0.15417403,0.3330564724763466,1.0
SNX10,-0.96820986,0.32550412,0.3329395703870215,1.0
C20orf196,-0.96833515,0.0036737067,0.332877013955854,1.0
MED27,-0.96852636,-0.43536776,0.33278154771885715,1.0
RBM4B,-0.96907043,-0.5730532,0.3325100594262147,1.0
